행정구역별,연령별,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자
행정구역별,연령별,2000,2000,2005,2005,2010,2010,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020
서울특별시,0 - 4세,306567,281967,227224,213296,204216,193451,200927,190838,194318,184628,181170,173004,168527,160290,157770,149131,143492,135377
서울특별시,5 - 9세,335826,297891,286088,265071,212435,199451,191849,181404,190385,180620,186597,177040,180429,171202,178533,169109,176037,167169
서울특별시,10 - 14세,314958,281040,330769,296848,283502,262248,209387,195586,196525,183922,191682,179874,187466,175715,181578,170795,181711,171331
서울특별시,15 - 19세,409327,376456,319877,295636,332292,302945,281128,270012,267296,259136,251735,244340,235494,230291,222941,220283,206091,202657
서울특별시,20 - 24세,489103,469465,432481,441102,339766,344260,352341,359603,346503,361052,338539,361406,330203,361751,319500,361505,308209,355979
서울특별시,25 - 29세,542873,527559,476672,484980,439024,459876,377599,388055,375184,386400,383505,393713,395630,403393,405143,416095,406953,428333
서울특별시,30 - 34세,473806,439542,489312,463621,430797,426967,432854,424572,405165,402081,384052,382555,369944,368415,364799,364270,367172,367780
서울특별시,35 - 39세,418888,421798,419634,410726,429626,421104,401512,391899,403974,394970,407731,398482,407004,397457,393596,385242,375820,369297
서울특별시,40 - 44세,415283,446677,395787,412796,393950,403410,421126,415750,396847,392569,378503,378043,360945,359787,352718,352817,353683,356053
서울특별시,45 - 49세,338980,357130,395748,429228,380404,404063,406727,417471,414847,427601,419571,427904,414897,421080,406212,411238,388580,394983
서울특별시,50 - 54세,283863,289510,310182,332917,368872,408560,393503,412896,380832,393086,370127,386067,370282,386905,376654,393202,378429,395153
서울특별시,55 - 59세,230926,223557,254056,265880,283140,309331,374379,409468,379327,415922,378648,411631,378116,408315,371525,397711,360318,383499
서울특별시,60 - 64세,173042,172885,200061,201710,225186,243650,277581,304839,296875,327495,306492,339395,320123,353800,330631,366596,337235,375406
서울특별시,65 - 69세,103738,121700,144309,155422,175236,187030,210905,234582,210655,235104,216809,241681,218200,245307,226481,254730,243941,276948
서울특별시,70 - 74세,54375,87012,83741,109201,121030,142667,160465,180651,159146,181321,160386,186085,166087,193924,173395,203765,179983,211987
서울특별시,75 - 79세,31526,60475,41003,73460,63867,95930,99738,128956,107446,135528,120169,147888,125514,153326,128585,156881,130667,159967
서울특별시,80 - 84세,14165,34426,20698,45390,27885,59401,45105,78460,50285,83421,55768,89244,61459,94778,68264,101361,73254,105855
서울특별시,85세이상,6304,21332,9470,28150,14800,41110,22409,59735,23505,61535,26158,65877,28652,69228,32115,74370,36158,80688
부산광역시,0 - 4세,108083,95820,73472,67792,63964,60446,68404,64829,67732,63977,63735,60345,60290,56980,55707,52943,50511,48126
부산광역시,5 - 9세,131684,111396,105588,94195,72380,66745,65968,62045,67440,63883,67540,63804,67067,63574,67395,63805,67628,64275
부산광역시,10 - 14세,125826,111675,129868,110938,105266,93750,73952,68076,68828,63787,67142,62455,65535,61485,64129,60375,65022,61165
부산광역시,15 - 19세,167611,155740,126955,113617,130771,111643,107728,97233,101759,92953,95018,87220,88659,81577,82794,76731,74893,69306
